-nan(ind),-nan(ind),
-nan(ind),-nan(ind),
-nan(ind),-nan(ind),
-nan(ind),-nan(ind),
-nan(ind),-nan(ind),
-nan(ind),-nan(ind),
-nan(ind),-nan(ind),
-nan(ind),-nan(ind),
-nan(ind),-nan(ind),
-nan(ind),-nan(ind),
-nan(ind),-nan(ind),
-nan(ind),-nan(ind),
-nan(ind),-nan(ind),
-nan(ind),-nan(ind),
-nan(ind),-nan(ind),
-nan(ind),-nan(ind),
-nan(ind),-nan(ind),
-nan(ind),-nan(ind),
-nan(ind),-nan(ind),
-nan(ind),-nan(ind),
-nan(ind),-nan(ind),
-nan(ind),-nan(ind),
-nan(ind),-nan(ind),
-nan(ind),-nan(ind),
-nan(ind),-nan(ind),
-nan(ind),-nan(ind),
-nan(ind),-nan(ind),
-nan(ind),-nan(ind),
-nan(ind),-nan(ind),
-nan(ind),-nan(ind),
-nan(ind),-nan(ind),
-nan(ind),-nan(ind),
-nan(ind),-nan(ind),
-nan(ind),-nan(ind),
-nan(ind),-nan(ind),
-nan(ind),-nan(ind),
-nan(ind),-nan(ind),
21.9279,1.06509,
22.9412,1.48695,
23.8925,3.27365,
24.889,3.77623,
25.8735,4.49027,
26.8547,5.25411,
27.834,6.05637,
28.8123,6.88533,
29.7902,7.73181,
30.768,8.58973,
31.7456,9.45526,
32.723,10.326,
33.7003,11.2004,
34.6772,12.0775,
35.6539,12.9566,
36.6303,13.8374,
37.6064,14.7193,
38.5821,15.6024,
39.5576,16.4863,
